	name	tweet	affiliation	year	month
0	David Cicilline	excited game party house	D	2015	1
1	Sen. Debbie Stabenow	joe biden knows michigan's big deal delegation two debbies	D	2015	1
2	Hakeem Jeffries	part woman right choose congress understand	D	2015	1
3	Sheila Jackson Lee	us developed nation world  offer paid maternity leave urge congress #leadonleave potus	D	2015	1
4	Brendan Boyle	imagejpeg _0 jpg #wearenotafraid	D	2015	1
5	David Cicilline	take yes still waiting others	D	2015	1
6	Rep. Richard Neal	celebrated #mlkday saturday wesley united methodist church's 33rd annual breakfast #springfield	D	2015	1
7	Ed Markey	enjoyed mtg w discuss leg initiatives improve #accessibility blind visually-impaired individuals	D	2015	1
8	Eleanor H. Norton	heartbroken didn't mention dc statehood despite efforts otherwise bold progressive #sotu	D	2015	1
9	Amy Klobuchar	cool twin cities woman sit w michelle obama tonight's state union	D	2015	1
10	Rep. Jared Polis	data collected students classroom used teach children market children	D	2015	1
11	Sen. Jeanne Shaheen	voted bypassing #keystonexl regulatory process read op-ed november explaining position	D	2015	1
12	Brian Higgins	inspiration making niagara falls better doesn't come albany washington 1/2	D	2015	1
13	D Wasserman Schultz	yes rt rt hope leads #marriageequality americans #loveislove	D	2015	1
14	Rep. John Yarmuth	5th anniversary citizens united need policies empower people politics big money #cu5	D	2015	1
15	Senator Ben Cardin	us industrialized nation world without paid maternity leave #leadonleave #familiessucceed	D	2015	1
16	Rep. Joe Courtney	important step forward today thanks james coleman  generous purchase union station	D	2015	1
17	Sen Dianne Feinstein	introduced bill turn klamath basin agreements law	D	2015	1
18	RepBThompson	today honor legacy civil rights trailblazer remember dr martin luther king jr 	D	2015	1
19	Jim Himes	would also note one debate making personal characterizations	D	2015	1
20	David Cicilline	believe #ethics training must mandatory members congress rt agree	D	2015	1
21	Rep. Joe Crowley	tying evil acts extreme individuals entire religion simply wrong diversity makes us stronger	D	2015	1
22	Sen. Jeanne Shaheen	excited serve ranking member appropriations subcommittee homeland security 114th congress	D	2015	1
23	Steny Hoyer	9.5 americans nationwide signed health insurance #getcovered feb	D	2015	1
24	Rep. Kurt Schrader	among 1st bills passed house bill w update tsunami warning detection systems	D	2015	1
25	Rep Cedric Richmond	looking fwd hearing president's plan continue economic growth progress great many americans still struggle #sotu	D	2015	1
