	name	tweet	affiliation	year	month
62205	John Lewis	road waste distraction disservice american taxpayers	D	2016	4
62206	Rep. Brendan Boyle	tune cspan morning i'll guest washington journal show 30am	D	2016	4
62207	Rep. Joe Courtney	thanks ct docs flew pleasure talking primary care caucus w	D	2016	4
62208	Gerry Connolly	thank advocacy	D	2016	4
62209	Rep. Roybal-Allard	a2 must lift gop ban stops researching ways reduce gun violence 3/3 #nphwchat	D	2016	4
62210	Linda T. Sánchez	#fightforfamilies stand add #twibbon	D	2016	4
62211	Nita Lowey	malaria remains major threat children throughout developing world together #worldmalariaday let  redouble efforts save lives	D	2016	4
62212	Brian Higgins	began land donated daughter judge augustus porter one niagara falls founders	D	2016	4
62213	Rep. Norma Torres	best luck future #cybersecurity experts team advances national competition	D	2016	4
62214	G. K. Butterfield	#equalpayday join fight #equalpayforequalwork	D	2016	4
62215	Donald Norcross	share plan help seniors struggling #socialsecurity cola rising #medicare costs	D	2016	4
62216	Chuck Schumer	game #finalfour halftime means hours away game #cusemode	D	2016	4
62217	Steny Hoyer	thank support judge garland  time senate gop #doyourjob	D	2016	4
62218	Lloyd Doggett	dropped hear young performers international festival language culture	D	2016	4
62219	G. K. Butterfield	#flint isn't alone  congress must invest nationwide lead poisoning prevention programs	D	2016	4
62220	Rep. Emanuel Cleaver	ventura gets close one good pitching 6th #royals	D	2016	4
62221	Richard Blumenthal	great discussion importance high quality care elder justice w nat  l assoc home care hospice	D	2016	4
62222	Ed & Workforce Cmte	congress accept flawed partisan #fiduciaryrule responsible bipartisan alternative	D	2016	4
62223	Rep. Don Beyer	great moments first issue column	D	2016	4
62224	Richard Blumenthal	pleased introduced payback playbook make payback options clear student debt holders	D	2016	4
62225	Senator Jack Reed	looking way help celebrate #earthday2016 tomorrow roundup activities around ri	D	2016	4
62226	Paul Tonko	thanks joining #cleanracing hearing	D	2016	4
62227	Sen Dianne Feinstein	astounding wage gap men women high  time #paycheckfairness	D	2016	4
62228	Senator Patty Murray	murray met w 60th day #scotus vacancy republicans continue refuse jobs #doyourjob	D	2016	4
62229	Amy Klobuchar	good story recent serving seniors staff tour grand rapids highlighted resources available mn seniors	D	2016	4
62230	Rep. Emanuel Cleaver	art coming annual art competition saturday entries	D	2016	4
62231	Chuck Schumer	remembering man taught us drive darkness hate mlk's death yrs ago crushed nation dreams	D	2016	4
62232	Bernie Sanders	study study shows american people world  overworked people deserve better starvation wages	D	2016	4
62233	Rep. Don Beyer	good conversation w #equalpaydayva #virginiawea thanks	D	2016	4
62234	Rep. Bobby Scott	honored deliver remarks flag raising ceremony kick 63rd annual norfolk festival	D	2016	4
62235	Rep. Keith Ellison	course	D	2016	4
62236	Ed & Workforce Cmte	 providing children access nutritious meals priority share  learn	D	2016	4
62237	Chuck Schumer	great morning talking tech nyc w #civicbkfst	D	2016	4
62238	Bernie Sanders	know people aren't comfortable say worry much future democracy country	D	2016	4
62239	Bernie Sanders	organize grassroots level whether it's gay rights raising minimum wage that's change takes place	D	2016	4
62240	Rep. Ed Perlmutter	#transdayofvisibility honor courage takes live authentically #morethanvisibility	D	2016	4
62241	Bonnie WatsonColeman	acted fix immigration system congress nothing #daca #dapa kept families together #fightforfamilies	D	2016	4
62242	Rep. Jared Huffman	lots interest confusion lately superdelegate vote dem convention see fb post clarifying position	D	2016	4
62243	Paul Tonko	applaud fast food airport home care child care underpaid workers taking street today demand fair pay #fightfor15	D	2016	4
62244	Rep. Debbie Dingell	pleasure thank great visit	D	2016	4
62245	Hakeem Jeffries	million americans work hard  make ends meet  right  stand w #fightfor15 1000s protesting today	D	2016	4
62246	Rep. Hank Johnson	pleased keeping spirit #reentryweek new reforms	D	2016	4
62247	Amy Klobuchar	senate passed amendment helped introduce protect airports strengthen security areas including check-in baggage claim	D	2016	4
62248	Senator Patty Murray	today toured wa women's correctional facility work end mass incarceration #1ujustice	D	2016	4
62249	JEC Democrats	practically everything need know #genderpaygap one page #equalpayday #equalpayday2016 #paygap	D	2016	4
62250	Senator Jack Reed	proud work w riaepdc #coabe advance #adultedu #literacy opportunities	D	2016	4
62251	Rep. Norma Torres	thank sharing	D	2016	4
62252	US Rep E.B.Johnson	#whm let  strive create america fosters equal rights equal opportunities equal treatment	D	2016	4
62253	Rep. Jared Polis	every member cosponsor paycheck fairness act #equalpayday recommit #equalpay equal work	D	2016	4
62254	Gwen Moore	#bokoharam  daily horrors include using #womenandgirls weapons warfare suicide bombers #bringbackourgirls	D	2016	4
62255	Ed & Workforce Cmte	bill strengthen efforts prevent child abuse neglect learn	D	2016	4
62256	Ed Markey	great see	D	2016	4
62257	Senator Ben Cardin	many #gop far willing score political points expense health safety americans #standwithpp	D	2016	4
62258	Rep. Debbie Dingell	focus new smart transportation caucus help ensure us continues drive future auto industry ?	D	2016	4
62259	Senator Patty Murray	fewer clinics fewer docs longer travel distances higher costs #hb2 impacting women texas #stopthesham	D	2016	4
62260	Bonnie WatsonColeman	black women much sum relative disadvantages #cbwg #blackgirlmagic	D	2016	4
62261	Sen Dianne Feinstein	 meeting tomorrow merrick garland president  #scotus nominee looking forward discussion #doyourjob	D	2016	4
62262	Albio Sires	voted #pipesact improve pipeline safety program view statement	D	2016	4
62263	Senator Patty Murray	senate  going keep championing paycheck fairness act make equal pay reality murray #equalpayday	D	2016	4
62264	Rep. Rick Larsen	hearing day today mark annual defense policy bill catch live #fy17ndaa	D	2016	4
62265	Paul Tonko	#cop21 already influenced renewable energy around world #pariseffect	D	2016	4
62266	G. K. Butterfield	glad school board chair heidi carter state district address #gkbnc	D	2016	4
62267	SenateEnergyDems	reports passage bill strengthen #drought resilience #yakima basin	D	2016	4
62268	Senator Jack Reed	proud approved first female officers ground combat jobs they've earned right privilege lead fellow soldiers	D	2016	4
62269	Rep. Jared Huffman	jazz legend owners doug deborah moody event us capitol	D	2016	4
62270	SenateEnergyDems	senate oks bill promote wide variety #energy sources via	D	2016	4
62271	Rep. Don Beyer	happy captain singh able continue serving without restrictions religious expression	D	2016	4
62272	Bonnie WatsonColeman	movements move activists activate get step shut geneva reed-veal #cbwg	D	2016	4
62273	Senator Patty Murray	murray republicans  latest effort politicize women  health access reproductive health care #standwithpp	D	2016	4
62274	Rep. Keith Ellison	exxon knew climate change new yorker	D	2016	4
62275	Sen Dianne Feinstein	1/2 merrick garland's conduct oklahoma city shows qualifications read op-ed #scotus	D	2016	4
62276	Rep. Terri A. Sewell	pleasure meet #moaa today c office	D	2016	4
62277	Senator Chris Coons	days sussex job fair rehoboth  great way find opportunities public private sector	D	2016	4
62278	Albio Sires	discussed federal student aid students today	D	2016	4
62279	Rep. Rick Larsen	thanks supporting youth access american jobs act students get #stem skills success	D	2016	4
62280	Chuck Schumer	i'm fight #equalpay #equalplayequalpay	D	2016	4
62281	Sen. Maria Cantwell	struggled w #affordablehousing #homelessness cantwell wants hear story	D	2016	4
62282	David Cicilline	great crowd food bank event thanks everyone supporting great organization good ...	D	2016	4
62283	Nancy Pelosi	leadership ca ny shines stark light inaction refuses #raisethewage americans	D	2016	4
62284	Rep. Joe Crowley	intro'd resolution support people ecuador following devastating #ecuadorearthquake	D	2016	4
62285	Rep. Bobby Scott	honored receive augustus hawkins award work education	D	2016	4
62286	Senator Chris Coons	don't miss sussex county job fair w rehoboth-dewey chamber commerce april	D	2016	4
62287	Steve Cohen	pleased #walmart announced source #eggs #cagefree sources another victory #animalrights activists	D	2016	4
