	name	tweet	affiliation	year	month
77088	Sen. Maria Cantwell	teaching #computerscience k ? opportunities disadvantaged students ? diversity #tech	D	2016	7
77089	Senate Energy GOP	sen reiterate personal commitment final bill pass chambers signed law ... #energy	D	2016	7
77090	Sen Dianne Feinstein	1/2 country weeps profound losses  suffered dallas baton rouge st paul statement	D	2016	7
77091	Rep. Ted Lieu	wife betty deeply saddened passing away friend miss #mahalomark	D	2016	7
77092	Steny Hoyer	wishing happy birthday friend assistant democratic leader	D	2016	7
77093	Bonnie WatsonColeman	celebrate america today lets remember who've fought protect us happy #fourthofjuly	D	2016	7
77094	Bernie Sanders	astrazeneca cannot allowed put profits patients health americans must access low-cost generics	D	2016	7
77095	Rep. Don Beyer	disruptive process called airgun blasting threatens species like critically-endangered right whale	D	2016	7
77096	Appropriations-Dems	offers amendment expand head start restore funding critical early learning programs	D	2016	7
77097	Donald Norcross	join conversation live telephone #townhall #gunsafety #disarmhate	D	2016	7
77098	Donald Norcross	determined get common sense #gunsafety house floor vote #disarmhate	D	2016	7
77099	Rep. Frank Pallone	demanded bring expanded background checks vote jamar small tamara siedle cristina lobrutto bryan breen	D	2016	7
77100	Rep. Keith Ellison	yes possibly	D	2016	7
77101	Gerry Connolly	thoughts w french following devastating attack nice shared resolve toward liberté équalité fraternité shaken	D	2016	7
77102	Rep. Jared Huffman	unlicensed sellers make sales gun shows many states bgc	D	2016	7
77103	Chuck Schumer	olney place barrington great coffee beer worms everything you're enjoying days keuka lake #nytownoftheday	D	2016	7
77104	Gregory Meeks	safe happy #4thofjuly thanks served	D	2016	7
77105	Rep. Keith Ellison	let's hurry extend democracy district columbia residents dc statehood #nn16	D	2016	7
77106	Earl Blumenauer	one exciting parts convention #plateoftheunion supporting sustainable healthy eco-friendly ag #demsinphilly	D	2016	7
77107	Rep. Frank Pallone	#otd #ada signed law giving millions chance live fulfilling lives contribute nation	D	2016	7
77108	Steve Cohen	honored #eliewiesel floor compared led dem sit-in stunt #disarmhate #noflynobuy	D	2016	7
