	name	tweet	affiliation	year	month
11621	Senator Ben Cardin	months since welcomed #alangross back home #maryland good sitting w	D	2015	4
11622	Rep. Terri A. Sewell	deeply disturbed charges judge fuller dismissed	D	2015	4
11623	Mark DeSaulnier	rt agree everyday #earthday	D	2015	4
11624	Rep. Frank Pallone	icymi discussed #deepwaterhorizon oil spill bill ban atlantic offshore drilling video	D	2015	4
11625	Jackie Speier	watch house transport infrastructure cmte testimony tmrw 10am et need step gas pipeline safety	D	2015	4
11626	Rep. Keith Ellison	rep lacy clay years ago dr martin luther king taken presence movement inspires movement	D	2015	4
11627	Brendan Boyle	house dems stand opportunity prosperity every american  bigger paychecks better infrastructure	D	2015	4
11628	Rep. Kurt Schrader	couldn't agree agreement parties essential alternative gridlock stalemate 1/2	D	2015	4
11629	Joaquin Castro	hope san antonio city council right joan cheever #sanantonio	D	2015	4
11630	Adam Schiff	hranoosh nalbandian berberian asatur soghomonian martiros aghavni kotikian armenak bahadorian hovannes ananian #neverforget1915	D	2015	4
11631	Adam Schiff	aghavni surenian faris surenian mardiros fermanian kaspar jeboghlian hagop jamgotchian hovhaness jamgotchian #neverforget1915	D	2015	4
11632	Jose E. Serrano	great 5k race #bronx zoo today run wild one best races #nyc glad ran #rftw2015 #not62	D	2015	4
11633	Rep. Frank Pallone	5years since #deepwaterhorizon oil spill intro'ing bill ban offshore atlantic drilling	D	2015	4
11634	Linda T. Sánchez	everyone taking vow silence today i've got back i'll keep fighting congress help put end bullying #dayofsilence	D	2015	4
11635	Joaquin Castro	believe expand aid students qualify gop budget limits eligibility fed aid #umatter	D	2015	4
11636	Rep. Don Beyer	8:  hope tune	D	2015	4
11637	Armed Services	courtney cruiser amendment 24-38 adopted #fy16ndaa	D	2015	4
11638	Steny Hoyer	visited prince george  co public safety communications hear crime prevention efforts emergency response	D	2015	4
11639	Ruben Gallego	congrats torres multicultural communications new bldg launch luna culture lab nonprofit #az07	D	2015	4
11640	Gwen Moore	transparency law enforcement helps strike balance defending vulnerable citizens protecting honest cops	D	2015	4
11641	Senate Energy GOP	washington post editorial time end u export ban via #exports	D	2015	4
11642	Senator Bob Menendez	must always pledge #neveragain allow horrors envelop world #holocaustremembranceday	D	2015	4
11643	Amy Klobuchar	called administration take immediate action stop illegal dumping foreign steel it's hurting american workers	D	2015	4
11644	Ed & Workforce Cmte	max roi #highered access completion programs need know components services work groups	D	2015	4
11645	Steny Hoyer	it's #nationalvolunteerweek find volunteer opportunities 5th district near	D	2015	4
11646	Senator Jeff Merkley	? alarming new study shows e-cigarette use among students tripling learn ?	D	2015	4
11647	Rep. Diana DeGette	patient needs driven #cures2015 every step way let  fix system let  save lives	D	2015	4
11648	Congressman Tim Ryan	balanced #stem #liberalarts education fosters critical thinking creativity nation needs	D	2015	4
11649	Senate Energy GOP	russia suffered mightily weight western sanctions fall energy prices	D	2015	4
11650	Senator Patty Murray	women make nearly 1/2 workforce get paid every man makes	D	2015	4
11651	Bernie Sanders	need real tax reform ...	D	2015	4
11652	David Cicilline	packed house breakfast good see many friends	D	2015	4
11653	Senator Chris Coons	met incredible men women serving country djibouti #netde	D	2015	4
11654	Armed Services	spier amendment withdrawn #fy16ndaa	D	2015	4
11655	Rep. Keith Ellison	big props president obama stayed course negotiations w iran masterful leadership complicated dangerous world	D	2015	4
11656	Chuck Schumer	false reporting  swatting  scary costly swat 1st responders deployed unsuspecting residents	D	2015	4
11657	Sen. Jeanne Shaheen	mag covers grassroots effort legislation put woman read #womenon20s	D	2015	4
11658	Steny Hoyer	today  floor schedule house representatives begin consideration mortgage choice act	D	2015	4
11659	Richard Blumenthal	federal regulators incapable properly evaluating palcohol unsafe product must store shelves	D	2015	4
11660	Jackie Speier	f pilot  400,000 individually crafted helmet distinguishing friend foe #fy16ndaa	D	2015	4
11661	D Wasserman Schultz	it's always wonderful home good friends	D	2015	4
11662	Kathleen Rice	americans deserve equal rights law urge #scotus extend guarantee same-sex couples seeking #marriageequality	D	2015	4
11663	Senator Jack Reed	congrats thanks sandra p mundy dir jesse smith #library years dedicated public service	D	2015	4
11664	Rep. Keith Ellison	edina businesses coming together around composting	D	2015	4
11665	Luis V. Gutierrez	watch warned gop colleagues running clock #immigration lawsuit big mistake #latism #p2 #twill	D	2015	4
11666	Gerry Connolly	godspeed members va tf elite urban search rescue team prep deploy nepal earthquake	D	2015	4
11667	Brendan Boyle	i'll wearing pin day #bringbackourgirls #joinrepwilson	D	2015	4
11668	Bernie Sanders	noon 1pmet sen sanders taking calls program watch live	D	2015	4
